# X_0;X_1;X_2;X_3;X_4;R_0;R_1;R_2;R_3;S_0;S_1;S_2;S_3;G_0;G_1;G_2;G_3;I_0;I_1;I_2;I_3
4.33447;1.14772;32977.59298;625905.11748;244733535.43699;16.70517;367.92071;0.01800;1210.24945;14.14552;27.41095;0.00228;164.46571;-2.55965;-340.50976;-0.01572;-1045.78375;0.00000;0.00000;0.00000;0.00000
5.24732;0.70485;26082.62804;584218.54827;235170314.52332;15.53886;300.24089;0.01800;1010.46549;15.35819;29.76083;0.00299;178.56499;-0.18067;-270.48006;-0.01501;-831.90050;0.00000;0.00000;0.00000;0.00000
5.96926;0.44677;28979.19166;603742.44866;247015235.65415;16.08356;329.26846;0.01800;1104.41351;16.55509;32.08017;0.00317;192.48101;0.47153;-297.18830;-0.01483;-911.93250;1.00000;0.00000;0.00000;0.00000
4.91299;0.91943;22660.94872;639734.47716;233701210.59423;16.91513;264.83955;0.01800;915.51535;15.04923;29.16213;0.00305;174.97278;-1.86590;-235.67742;-0.01495;-740.54257;0.00000;0.00000;0.00000;0.00000
5.05251;0.55148;34011.50727;637954.47184;252852193.32182;17.03058;377.64801;0.01800;1248.76381;14.45981;28.01997;0.00250;168.11983;-2.57077;-349.62804;-0.01550;-1080.64397;0.00000;0.00000;0.00000;0.00000
5.88848;0.58812;26721.85809;613143.51185;228211301.09662;16.29918;306.72104;0.01800;1018.94501;16.71136;32.38299;0.00328;194.29793;0.41218;-274.33805;-0.01472;-824.64708;1.00000;0.00000;0.00000;0.00000
3.65914;1.02366;28831.77489;682287.14158;261501834.17216;18.12403;327.81198;0.01800;1118.94662;12.08288;23.41399;0.00207;140.48396;-6.04116;-304.39799;-0.01593;-978.46266;0.00000;0.00000;0.00000;0.00000
4.86039;0.71112;27592.72833;631406.48573;234637674.20243;16.78572;315.48182;0.01800;1050.85843;14.37598;27.85753;0.00270;167.14518;-2.40974;-287.62429;-0.01530;-883.71326;0.00000;0.00000;0.00000;0.00000
4.34702;0.73996;32617.74771;615437.69871;252381560.88821;16.42764;364.50942;0.01800;1210.25114;13.12576;25.43488;0.00224;152.60928;-3.30188;-339.07455;-0.01576;-1057.64186;0.00000;0.00000;0.00000;0.00000
3.60196;0.52970;32481.22300;605183.10597;248996067.01764;16.15777;363.21170;0.01800;1202.20423;10.66078;20.65827;0.00184;123.94964;-5.49699;-342.55343;-0.01616;-1078.25459;0.00000;0.00000;0.00000;0.00000
